<DATE>;<VALUE>;<TYPE>
16.10.2018;116740;Открытие
16.10.2018;116740;Открытие
16.10.2018;116790;Открытие
16.10.2018;116770;Открытие
16.10.2018;116770;Открытие
16.10.2018;116820;Открытие
16.10.2018;116790;Открытие
16.10.2018;116810;Открытие
16.10.2018;116810;Открытие
16.10.2018;116770;Открытие
16.10.2018;116750;Открытие
16.10.2018;116780;Открытие
16.10.2018;116770;Открытие
16.10.2018;116800;Открытие
16.10.2018;116800;Открытие
16.10.2018;116770;Открытие
16.10.2018;116770;Открытие
16.10.2018;116800;Открытие
16.10.2018;116830;Открытие
16.10.2018;116800;Открытие
16.10.2018;116820;Открытие
16.10.2018;116790;Открытие
16.10.2018;116800;Открытие
16.10.2018;116820;Открытие
16.10.2018;116820;Открытие
16.10.2018;116830;Открытие
16.10.2018;116830;Открытие
16.10.2018;116820;Открытие
16.10.2018;116820;Открытие
16.10.2018;116840;Открытие
16.10.2018;116840;Открытие
16.10.2018;116850;Открытие
16.10.2018;116830;Открытие
16.10.2018;116830;Открытие
16.10.2018;116830;Открытие
16.10.2018;116810;Открытие
16.10.2018;116820;Открытие
16.10.2018;116810;Открытие
16.10.2018;116800;Открытие
16.10.2018;116830;Открытие
16.10.2018;116820;Открытие
16.10.2018;116820;Открытие
16.10.2018;116820;Открытие
16.10.2018;116840;Открытие
16.10.2018;116800;Открытие
16.10.2018;116800;Открытие
16.10.2018;116790;Открытие
16.10.2018;116780;Открытие
16.10.2018;116770;Открытие
16.10.2018;116750;Открытие
16.10.2018;116770;Открытие
16.10.2018;116720;Открытие
16.10.2018;116730;Открытие
16.10.2018;116740;Открытие
16.10.2018;116740;Открытие
16.10.2018;116730;Открытие
16.10.2018;116730;Открытие
16.10.2018;116710;Открытие
16.10.2018;116730;Открытие
16.10.2018;116750;Открытие
16.10.2018;116760;Открытие
16.10.2018;116770;Открытие
16.10.2018;116780;Открытие
16.10.2018;116740;Открытие
16.10.2018;116730;Открытие
16.10.2018;116720;Открытие
16.10.2018;116730;Открытие
16.10.2018;116790;Открытие
16.10.2018;116760;Открытие
16.10.2018;116760;Открытие
16.10.2018;116750;Открытие
16.10.2018;116740;Открытие
16.10.2018;116740;Открытие
16.10.2018;116740;Открытие
16.10.2018;116770;Открытие
16.10.2018;116750;Открытие
16.10.2018;116740;Открытие
16.10.2018;116750;Открытие
16.10.2018;116760;Открытие
16.10.2018;116790;Открытие
16.10.2018;116800;Открытие
16.10.2018;116810;Открытие
16.10.2018;116800;Открытие
16.10.2018;116800;Открытие
16.10.2018;116840;Открытие
16.10.2018;116810;Открытие
16.10.2018;116820;Открытие
16.10.2018;116830;Открытие
16.10.2018;116840;Открытие
16.10.2018;116820;Открытие
16.10.2018;116820;Открытие
16.10.2018;116820;Открытие
16.10.2018;116880;Открытие
16.10.2018;116880;Открытие
16.10.2018;116920;Открытие
16.10.2018;116890;Открытие
16.10.2018;116920;Открытие
16.10.2018;116930;Открытие
16.10.2018;116920;Открытие
16.10.2018;116900;Открытие
16.10.2018;116880;Открытие
16.10.2018;116880;Открытие
16.10.2018;116880;Открытие
16.10.2018;116840;Открытие
16.10.2018;116810;Открытие
16.10.2018;116840;Открытие
16.10.2018;116830;Открытие
16.10.2018;116860;Открытие
16.10.2018;116900;Открытие
16.10.2018;116900;Открытие
16.10.2018;116950;Открытие
16.10.2018;116930;Открытие
16.10.2018;116890;Открытие
16.10.2018;116790;Открытие
16.10.2018;116780;Открытие
16.10.2018;116840;Открытие
16.10.2018;116830;Открытие
16.10.2018;116830;Открытие
16.10.2018;116830;Открытие
16.10.2018;116860;Открытие
16.10.2018;116840;Открытие
16.10.2018;116860;Открытие
16.10.2018;116870;Открытие
16.10.2018;116880;Открытие
16.10.2018;116870;Открытие
16.10.2018;116900;Открытие
16.10.2018;116870;Открытие
16.10.2018;116860;Открытие
16.10.2018;116920;Открытие
16.10.2018;116910;Открытие
16.10.2018;116900;Открытие
16.10.2018;116910;Открытие
16.10.2018;116910;Открытие
16.10.2018;116960;Открытие
16.10.2018;117140;Открытие
16.10.2018;117100;Открытие
16.10.2018;117180;Открытие
16.10.2018;117250;Открытие
16.10.2018;117250;Открытие
16.10.2018;117310;Открытие
